
 *: interface is up
 IHQ: pkts in input hold queue     IQD: pkts dropped from input queue
 OHQ: pkts in output hold queue    OQD: pkts dropped from output queue
 RXBS: rx rate (bits/sec)          RXPS: rx rate (pkts/sec)
 TXBS: tx rate (bits/sec)          TXPS: tx rate (pkts/sec)
 TRTL: throttle count

  Interface                   IHQ       IQD       OHQ       OQD      RXBS      RXPS      TXBS      TXPS      TRTL
-----------------------------------------------------------------------------------------------------------------
  FastEthernet1                 0         0         0         0         0         0         0         0         0
* TenGigabitEthernet1/1         0         0         0         0  16240000      3024  13397000      2976         0
* TenGigabitEthernet1/2         0         0         0         0     18000        11    292000       142         0
* TenGigabitEthernet1/3         0         0         0         0   1858000       312    930000       202         0
* TenGigabitEthernet1/4         0         0         0         0  24729000      3431  24311000      3231         0
* GigabitEthernet2/1            0         0         0         0         0         0         0         0         0
* GigabitEthernet2/2            0         0         0         0     38000        29    484000       159         0
* GigabitEthernet2/3            0         0         0         0    939000       565  10631000       983         0
* GigabitEthernet2/4            0         0         0         0  70297000      7402         0         0         0
* GigabitEthernet2/5            0         0         0         0      9000         7    191000       129         0
* GigabitEthernet2/6            0         0         0         0   6484000      1180   7810000      1229         0
  GigabitEthernet3/1            0         0         0         0         0         0         0         0         0
  GigabitEthernet3/2            0         0         0         0         0         0         0         0         0
* GigabitEthernet3/3            0         0         0         0         0         0      2000         4         0
  GigabitEthernet3/4            0         0         0         0         0         0         0         0         0
  GigabitEthernet3/5            0         0         0         0         0         0         0         0         0
  GigabitEthernet3/6            0         0         0         0         0         0         0         0         0
* GigabitEthernet3/7            0         0         0         0         0         0      1000         2         0
* GigabitEthernet3/8            0         0         0         0         0         0      2000         4         0
  GigabitEthernet3/9            0         0         0         0         0         0         0         0         0
* GigabitEthernet3/10           0         0         0         0         0         0      1000         2         0
  GigabitEthernet3/11           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/12           0         0         0         0         0         0         0         0         0
* GigabitEthernet3/13           0         0         0    171919     41000        50   2141000       189         0
* GigabitEthernet3/14           0         0         0         0         0         0      1000         2         0
  GigabitEthernet3/15           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/16           0         0         0         0         0         0         0         0         0
* GigabitEthernet3/17           0         0         0         0         0         0      2000         3         0
  GigabitEthernet3/18           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/19           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/20           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/21           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/22           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/23           0         0         0         0         0         0         0         0         0
* GigabitEthernet3/24           0         0         0         0         0         0      4000         3         0
  GigabitEthernet3/25           0         0         0         0         0         0         0         0         0
* GigabitEthernet3/26           0         0         0         0      1000         2    984000       102         0
  GigabitEthernet3/27           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/28           0         0         0         3         0         0         0         0         0
* GigabitEthernet3/29           0         0         0         0     10000        13    115000        24         0
  GigabitEthernet3/30           0         0         0         0         0         0         0         0         0
* GigabitEthernet3/31           0         0         0         0         0         0      4000         3         0
  GigabitEthernet3/32           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/33           0         0         0         0         0         0         0         0         0
* GigabitEthernet3/34           0         0         0         0         0         0      2000         2         0
  GigabitEthernet3/35           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/36           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/37           0         0         0         0         0         0         0         0         0
* GigabitEthernet3/38           0         0         0         0      1000         1     15000         9         0
  GigabitEthernet3/39           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/40           0         0         0         0         0         0         0         0         0
* GigabitEthernet3/41           0         0         0         0         0         0      2000         2         0
  GigabitEthernet3/42           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/43           0         0         0         0         0         0         0         0         0
* GigabitEthernet3/44           0         0         0         0         0         0      5000         5         0
* GigabitEthernet3/45           0         0         0         0         0         0      2000         4         0
* GigabitEthernet3/46           0         0         0         0      1000         2      7000         8         0
  GigabitEthernet3/47           0         0         0         0         0         0         0         0         0
  GigabitEthernet3/48           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/1            0         0         0         0         0         0         0         0         0
* GigabitEthernet4/2            0         0         0         0      2000         0     35000         8         0
  GigabitEthernet4/3            0         0         0         0         0         0         0         0         0
* GigabitEthernet4/4            0         0         0         0         0         0      5000         5         0
  GigabitEthernet4/5            0         0         0         0         0         0         0         0         0
  GigabitEthernet4/6            0         0         0         0         0         0         0         0         0
  GigabitEthernet4/7            0         0         0         0         0         0         0         0         0
* GigabitEthernet4/8            0         0         0         0         0         0      2000         4         0
  GigabitEthernet4/9            0         0         0         0         0         0         0         0         0
  GigabitEthernet4/10           0         0         0         3         0         0         0         0         0
  GigabitEthernet4/11           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/12           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/13           0         0         0         0    173000        75    206000        78         0
  GigabitEthernet4/14           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/15           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/16           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/17           0         0         0         0         0         0      4000         3         0
  GigabitEthernet4/18           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/19           0         0         0         0      4000         2     38000         8         0
  GigabitEthernet4/20           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/21           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/22           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/23           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/24           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/25           0         0         0         0         0         0      5000         5         0
* GigabitEthernet4/26           0         0         0         0         0         0      2000         4         0
  GigabitEthernet4/27           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/28           0         0         0         0         0         0      5000         5         0
* GigabitEthernet4/29           0         0         0         0         0         0      5000         5         0
* GigabitEthernet4/30           0         0         0         0         0         0      5000         5         0
* GigabitEthernet4/31           0         0         0         0      1000         0     48000         5         0
* GigabitEthernet4/32           0         0         0         0         0         0      5000         5         0
  GigabitEthernet4/33           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/34           0         0         0         0         0         0      9000         8         0
  GigabitEthernet4/35           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/36           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/37           0         0         0         0      1000         0      6000         6         0
  GigabitEthernet4/38           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/39           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/40           0         0         0         0         0         0      3000         4         0
* GigabitEthernet4/41           0         0         0         0         0         0      6000         6         0
  GigabitEthernet4/42           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/43           0         0         0         0         0         0         0         0         0
